Dataset,Backbone,MC Samples,# of Frames,TTA Transforms,Seed,OOD Detection Rate,OOD AUROC
Cityscapes OOD,DINOv2 (ViT-B),0,0,(),1,0.694,0.618722
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('horizontalFlip',)",1,0.734,0.6390480000000001
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('horizontalFlip',)",2,0.734,0.6390480000000001
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('horizontalFlip',)",3,0.734,0.6390480000000001
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",1,0.826,0.6724439999999999
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",2,0.826,0.6724439999999999
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('horizontalFlip', 'scale')",3,0.826,0.6724439999999999
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('scale',)",1,0.814,0.6888519999999999
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('scale',)",2,0.814,0.6888519999999999
Cityscapes OOD,DINOv2 (ViT-B),0,0,"('scale',)",3,0.814,0.6888519999999999
Cityscapes OOD,DINOv2 (ViT-B),0,1,(),1,0.962,0.861292
Cityscapes OOD,DINOv2 (ViT-B),0,1,(),2,0.962,0.861292
Cityscapes OOD,DINOv2 (ViT-B),0,1,(),3,0.962,0.861292
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('horizontalFlip',)",1,0.942,0.772044
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('horizontalFlip',)",2,0.942,0.772044
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('horizontalFlip',)",3,0.942,0.772044
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",1,0.942,0.7271679999999999
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",2,0.942,0.7271679999999999
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('horizontalFlip', 'scale')",3,0.942,0.7271679999999999
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('scale',)",1,0.944,0.7625959999999999
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('scale',)",2,0.944,0.7625959999999999
Cityscapes OOD,DINOv2 (ViT-B),0,1,"('scale',)",3,0.944,0.7625959999999999
Cityscapes OOD,DINOv2 (ViT-B),0,2,(),1,0.962,0.804712
Cityscapes OOD,DINOv2 (ViT-B),0,2,(),2,0.962,0.804712
Cityscapes OOD,DINOv2 (ViT-B),0,2,(),3,0.962,0.804712
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('horizontalFlip',)",1,0.938,0.7358480000000001
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('horizontalFlip',)",2,0.938,0.7358480000000001
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('horizontalFlip',)",3,0.938,0.7358480000000001
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",1,0.952,0.70248
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",2,0.952,0.70248
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('horizontalFlip', 'scale')",3,0.952,0.70248
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('scale',)",1,0.95,0.7369400000000002
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('scale',)",2,0.95,0.7369400000000002
Cityscapes OOD,DINOv2 (ViT-B),0,2,"('scale',)",3,0.95,0.7369400000000002
Cityscapes OOD,DINOv2 (ViT-B),0,3,(),1,0.972,0.7699199999999999
Cityscapes OOD,DINOv2 (ViT-B),0,3,(),2,0.972,0.7699199999999999
Cityscapes OOD,DINOv2 (ViT-B),0,3,(),3,0.972,0.7699199999999999
Cityscapes OOD,DINOv2 (ViT-B),0,3,"('horizontalFlip',)",1,0.936,0.710548
Cityscapes OOD,DINOv2 (ViT-B),0,3,"('horizontalFlip',)",2,0.936,0.710548
Cityscapes OOD,DINOv2 (ViT-B),0,3,"('horizontalFlip',)",3,0.936,0.710548
Cityscapes OOD,DINOv2 (ViT-B),0,3,"('scale',)",1,0.956,0.711876
Cityscapes OOD,DINOv2 (ViT-B),0,3,"('scale',)",2,0.956,0.711876
Cityscapes OOD,DINOv2 (ViT-B),0,3,"('scale',)",3,0.956,0.711876
Cityscapes OOD,DINOv2 (ViT-B),0,5,(),1,0.978,0.712688
Cityscapes OOD,DINOv2 (ViT-B),0,5,(),2,0.978,0.712688
Cityscapes OOD,DINOv2 (ViT-B),0,5,(),3,0.978,0.712688
Cityscapes OOD,DINOv2 (ViT-B),0,5,"('horizontalFlip',)",1,0.932,0.66936
Cityscapes OOD,DINOv2 (ViT-B),0,5,"('horizontalFlip',)",2,0.932,0.66936
Cityscapes OOD,DINOv2 (ViT-B),0,5,"('horizontalFlip',)",3,0.932,0.66936
