,Backbone,Dataset,MC Samples,# of Frames,Prediction Model,Seed,Uncertainty Measure,Aggregation Type,OOD Detection Rate,OOD AUROC,TTA Transforms
0,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,pred_entropy_mask,Patch Level,0.414,0.46788799999999997,()
1,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,pred_entropy_mask,Image Level,0.82,0.577488,()
2,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,expected_entropy_mask,Patch Level,0.458,0.500176,()
3,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,expected_entropy_mask,Image Level,0.628,0.5215960000000001,()
4,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,mutual_information_mask,Image Level,0.818,0.6049,()
5,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,expected_entropy_class,Patch Level,0.55,0.522328,()
6,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,expected_entropy_class,Image Level,0.788,0.533432,()
7,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,pred_entropy_class,Image Level,0.926,0.610088,()
8,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,mutual_information_class,Image Level,0.968,0.73626,()
9,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,softmax_cls_score,Patch Level,0.468,0.495116,()
10,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,softmax_cls_score,Image Level,0.92,0.5904400000000001,()
11,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,norm_sigmoid_mask_score,Image Level,0.796,0.5689,()
12,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,class_mask_combined_score,Patch Level,0.468,0.48564399999999996,()
13,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,class_mask_combined_score,Image Level,0.916,0.594892,()
14,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,mutual_information_mask,Patch Level,0.454,0.48407200000000006,()
15,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,expected_variance_mask,Patch Level,0.418,0.454508,()
16,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,norm_sigmoid_mask_score,Patch Level,0.432,0.45667599999999997,()
17,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,pred_variance_mask,Patch Level,0.426,0.45940000000000003,()
18,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,pred_entropy_class,Patch Level,0.638,0.545868,()
19,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,mutual_information_class,Patch Level,0.652,0.603952,()
20,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,expected_variance_mask,Image Level,0.17,0.41042,()
21,DINOv2 (ViT-B),Cityscapes OOD (VIPER model),3,5,MCDropout+Timeseries,1,pred_variance_mask,Image Level,0.088,0.38404400000000005,()
22,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,pred_entropy_mask,Image Level,0.944,0.751996,()
23,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,expected_entropy_mask,Patch Level,0.636,0.560212,()
24,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,expected_entropy_mask,Image Level,0.916,0.665372,()
25,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,mutual_information_mask,Image Level,0.954,0.80742,()
26,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,expected_entropy_class,Patch Level,0.602,0.551032,()
27,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,expected_entropy_class,Image Level,0.954,0.694368,()
28,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,expected_variance_mask,Image Level,0.544,0.5420320000000001,()
29,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,pred_entropy_class,Image Level,0.982,0.757904,()
30,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,mutual_information_class,Patch Level,0.854,0.813808,()
31,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,mutual_information_class,Image Level,0.982,0.897036,()
32,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,softmax_cls_score,Patch Level,0.478,0.50874,()
33,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,softmax_cls_score,Image Level,0.954,0.730856,()
34,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,norm_sigmoid_mask_score,Image Level,0.906,0.7508319999999999,()
35,ResNet50,Cityscapes OOD,10,1,MCDropout+Timeseries,1,pred_variance_mask,Image Level,0.282,0.463788,()
